losses_features,losses_imgs,e_losses
0.05721833556890488,0.13057488203048706,0.18779322504997253
0.03905794769525528,0.1232132762670517,0.16227123141288757
0.041096486151218414,0.11083237826824188,0.1519288718700409
0.02784160152077675,0.09198321402072906,0.11982481181621552
0.042237211018800735,0.14322805404663086,0.1854652613401413
0.02338063344359398,0.10150226950645447,0.12488290667533875
0.026139996945858,0.10783259570598602,0.13397258520126343
0.02135676145553589,0.10117922723293304,0.12253598868846893
0.017016973346471786,0.07856626808643341,0.0955832451581955
0.01734170690178871,0.08637350797653198,0.1037152111530304
