losses_features,losses_imgs,e_losses
0.07797771692276001,0.10842156410217285,0.18639928102493286
0.049867913126945496,0.07737483084201813,0.12724274396896362
0.05524599179625511,0.08422324061393738,0.1394692361354828
0.048076290637254715,0.06460656970739365,0.11268286406993866
0.04407434165477753,0.07926824688911438,0.1233425885438919
0.03656236454844475,0.059205539524555206,0.09576790034770966
0.03164222836494446,0.057215891778469086,0.08885812014341354
0.03243701159954071,0.06521350890398026,0.09765052050352097
0.030960891395807266,0.05129842087626457,0.08225931227207184
0.028050249442458153,0.050936415791511536,0.07898666709661484
0.026246819645166397,0.04988148808479309,0.07612830400466919
0.033490851521492004,0.059001628309488297,0.09249247610569
0.03327687084674835,0.061315491795539856,0.09459236264228821
0.03735841065645218,0.06649210304021835,0.10385051369667053
0.031635817140340805,0.06861716508865356,0.10025298595428467
0.030887940898537636,0.054488521069288254,0.08537646383047104
0.03284647315740585,0.06499016284942627,0.09783663600683212
0.027405817061662674,0.04672852158546448,0.07413433492183685
0.027274269610643387,0.04938225448131561,0.0766565203666687
0.027104444801807404,0.055081553757190704,0.08218599855899811
0.021729566156864166,0.04495867341756821,0.06668823957443237
0.03360428661108017,0.06905988603830338,0.10266417264938354
0.02995149791240692,0.051096752285957336,0.08104825019836426
0.02670721709728241,0.05438024178147316,0.08108745515346527
0.026902105659246445,0.0537659227848053,0.08066803216934204
0.023488875478506088,0.04609819874167442,0.06958707422018051
0.024036170914769173,0.051112089306116104,0.07514826208353043
0.02401077002286911,0.058437082916498184,0.08244785666465759
0.027634713798761368,0.04762306064367294,0.07525777816772461
0.019773567095398903,0.03899870812892914,0.05877227336168289
0.024663835763931274,0.056786395609378815,0.08145023137331009
0.0292370542883873,0.0540340393781662,0.0832710936665535
0.019037336111068726,0.03799210488796234,0.05702944099903107
0.03057246282696724,0.07427971065044403,0.10485216975212097
0.027669277042150497,0.05701189488172531,0.08468116819858551
0.02416846714913845,0.05665024369955063,0.08081871271133423
0.022447438910603523,0.05492111295461655,0.07736855000257492
0.029829300940036774,0.06346224248409271,0.09329154342412949
0.025478631258010864,0.053647324442863464,0.07912595570087433
0.024245239794254303,0.04736671596765518,0.07161195576190948
0.021276766434311867,0.0430648997426033,0.06434166431427002
0.020387334749102592,0.05116966366767883,0.07155700027942657
0.022480370476841927,0.046678442507982254,0.06915881484746933
0.027002498507499695,0.051551539450883865,0.07855403423309326
