generator losses,discriminator losses
-0.1560668647289276,-3.766238212585449
-5.056985855102539,-7.99267053604126
-7.81126070022583,-7.942435264587402
-9.576400756835938,-11.411264419555664
-13.000120162963867,-8.940460205078125
-15.14133071899414,-6.646509647369385
-14.944658279418945,-2.66009521484375
-13.089048385620117,-1.6221338510513306
-9.762542724609375,-0.8730468153953552
-7.319099426269531,1.213671326637268
-10.404060363769531,-0.03287835419178009
-5.226407051086426,-1.332034945487976
-11.159090042114258,1.2578662633895874
-3.7266688346862793,0.6915558576583862
-11.567177772521973,-2.2376937866210938
-1.0346254110336304,-2.987743616104126
-12.570802688598633,0.7955132722854614
1.1749072074890137,-2.3828725814819336
-10.957808494567871,-1.2132585048675537
-4.921003341674805,0.505357563495636
1.0366731882095337,-1.738510012626648
-11.535958290100098,-2.6796340942382812
-1.9411070346832275,-4.451624870300293
-3.650272846221924,-3.1314890384674072
-11.12540054321289,-2.0458731651306152
3.6074724197387695,-2.3623974323272705
-3.2933554649353027,0.017474189400672913
-10.707122802734375,-1.8079575300216675
3.3869166374206543,-4.84592342376709
-3.394500732421875,-2.046611785888672
-9.974753379821777,-1.7714285850524902
4.754470348358154,-3.8463239669799805
-4.163025856018066,-2.013218402862549
-9.012754440307617,-1.034927487373352
-2.1984059810638428,-2.119105815887451
-11.010823249816895,0.050968319177627563
-0.1006084680557251,-2.63988995552063
-2.1581928730010986,-1.6143252849578857
-6.875838279724121,-0.9522260427474976
-0.3121863603591919,-5.860866546630859
-4.312895774841309,-1.810020089149475
-9.964786529541016,-2.6594443321228027
-1.9948441982269287,-3.8474793434143066
-2.3982315063476562,-1.806863784790039
-8.093814849853516,-2.3123931884765625
-4.475625991821289,-2.788550615310669
-5.536614418029785,0.7878811359405518
-8.384990692138672,-0.8917728662490845
-2.1514852046966553,-3.4222335815429688
-5.002229690551758,-1.7376105785369873
-8.122725486755371,-1.6351860761642456
-3.4687697887420654,-3.0045440196990967
-5.264400005340576,-0.5249834656715393
-7.586691379547119,-1.995179295539856
-2.209153652191162,-1.7768399715423584
-5.905651092529297,-4.045770645141602
-7.000585556030273,-1.6305606365203857
-2.4755117893218994,-2.201941967010498
-2.85119366645813,-1.269795298576355
-6.860502243041992,-2.9210503101348877
-2.6965107917785645,-3.8675124645233154
-5.553007125854492,1.4718642234802246
-5.747657775878906,-1.0073996782302856
-3.38679575920105,-2.2827951908111572
-4.245094299316406,-0.41943350434303284
-6.554873466491699,-0.8572515249252319
-7.520713806152344,-1.422093152999878
-3.660885810852051,-1.6930471658706665
-8.511933326721191,-2.253740072250366
-5.908391952514648,-2.347834587097168
-5.99452018737793,-2.882260322570801
-5.449195384979248,-2.9354498386383057
-7.364563941955566,-0.6205878257751465
-5.967173099517822,-0.7183331847190857
-5.002374649047852,-2.4328484535217285
-8.450127601623535,-0.835232138633728
-6.146665096282959,-1.640202522277832
-3.718409538269043,-0.6782422065734863
-9.697917938232422,-1.9910624027252197
-5.83774471282959,-2.0718672275543213
-3.1715798377990723,-2.366293430328369
-6.585474014282227,-0.9624246954917908
-8.543642044067383,-1.3121066093444824
-5.843850135803223,-3.303471326828003
-4.69300651550293,-2.369150400161743
